pair	gene name1	gene name2	Uniprot1	Uniprot2	PPI Score	ourID	Phys_BioGRID	Gen_BioGRID	string	ExpCont	PDB_complex	UniFun1	UniFun2	KEGG1	KEGG2	Uniloc1	Uniloc2	Phob1	Phob2	KEGGpath1	KEGGpath2	UniPubsInt	UniPubsU	Human	pdbmono1	pdbmono2	orf_name1	orf_name2	orf_name_a	orf_name_b
YBL026W_YLR438C-A	LSM2	LSM3	P38203	P57743	1.0	1571169at2759_1633672at2759	0.59	0	999	na	ortholog	U6 snRNA-associated Sm-like protein LSm2 (Small nuclear ribonucleoprotein D homolog SNP3)	U6 snRNA-associated Sm-like protein LSm3 (SmX4 protein)	YBL026W	YLR438C-A	Nucleus. Cytoplasm {ECO:0000305}.	Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm {ECO:0000269|PubMed:14562095}.	-	-	genetic	genetic	24247251, 24513854, 10449419, 14562106, 10747033, 12438310, 10428970, 12077351, 15485930, 10369684, 24139796, 24374639, 24240276	24	both	4n0a_G	3bw1_B	YBL026W	YLR438C-A	YBL026W	YLR438C-A
YDR041W_YDR175C	RSM10	RSM24	Q03201	Q03976	1.0	1528895at2759_1604037at2759	0.002	na	997	apms	ortholog	37S ribosomal protein S10, mitochondrial (Mitochondrial small ribosomal subunit protein uS10m)	37S ribosomal protein S24, mitochondrial (Mitochondrial ribosomal small subunit protein 24) (Mitochondrial small ribosomal subunit protein mS35)	YDR041W	YDR175C	Mitochondrion {ECO:0000269|PubMed:11278769, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:11278769, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	-	-	genetic	genetic	17322287, 14562106, 28154081, 12392552, 25609543, 14576278, 9169867, 14562095, 11278769, 24374639	11	1	5mrf_JJ	5mrf_YY	YDR041W	YDR175C	YDR041W	YDR175C
YIR008C_YKL045W	PRI1	PRI2	P10363	P20457	1.0	1346165at2759_479347at2759	0.333	1	999	gold	homolog	DNA primase small subunit (EC 2.7.7.-) (DNA polymerase alpha:primase complex p48 subunit) (DNA polymerase-primase complex p48 subunit) (Pol alpha-primase complex p48 subunit) (DNA primase 48 kDa subunit)	DNA primase large subunit (DNA polymerase alpha:primase complex p58 subunit) (DNA polymerase-primase complex p58 subunit) (Pol alpha-primase complex p58 subunit) (DNA primase 58 kDa subunit)	YIR008C	YKL045W	na	na	-	-	genetic	genetic	3061469, 2023935, 24374639	14	both	4mm2_B	6di6_A	YIR008C	YKL045W	YIR008C	YKL045W
YGR102C_YMR293C	HER2	GTF1	Q03557	P53260	1.0	1195292at2759_1579170at2759	na	0.833	998	na	ortholog	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (Glu-AdT subunit A) (EC 6.3.5.7) (HMG2-induced ER-remodeling protein 2) (Loss of respiratory capacity protein 6)	Glutamyl-tRNA(Gln) amidotransferase subunit F, mitochondrial (Glu-AdT subunit F) (EC 6.3.5.-)	YMR293C	YGR102C	Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03150, ECO:0000269|PubMed:11914276, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:19417106}.	Mitochondrion inner membrane {ECO:0000255|HAMAP-Rule:MF_03151, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:19417106, ECO:0000269|PubMed:21799017}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_03151, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:19417106, ECO:0000269|PubMed:21799017}; Matrix side {ECO:0000255|HAMAP-Rule:MF_03151, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:19417106, ECO:0000269|PubMed:21799017}.	-	-	genetic	genetic	19417106, 24374639, 14562095, 14562106	12	1	4n0i_A	4n0i_F	YMR293C	YGR102C	YGR102C	YMR293C
YDL040C_YHR013C	ARD1	NAT1	P07347	P12945	1.0	1489230at2759_792708at2759	1.239	na	999	gold	ortholog	N-terminal acetyltransferase A complex catalytic subunit ARD1 (NatA complex subunit ARD1) (EC 2.3.1.255) (Arrest-defective protein 1)	N-terminal acetyltransferase A complex subunit NAT1 (NatA complex subunit NAT1) (Amino-terminal, alpha-amino, acetyltransferase 1)	YHR013C	YDL040C	Cytoplasm {ECO:0000269|PubMed:14562095}.	Cytoplasm {ECO:0000269|PubMed:14562095}.	-	-	genetic	genetic	14562106, 2551674, 14562095, 14517307, 1600941, 24374639	12	both	4hny_D	6o07_A	YHR013C	YDL040C	YDL040C	YHR013C
YKL186C_YPL169C	MEX67	MTR2	Q99257	P34232	1.0	1051093at2759_1392064at2759	2.8	0.377	999	gold	ortholog	mRNA export factor MEX67	mRNA transport regulator MTR2	YPL169C	YKL186C	Nucleus. Cytoplasm. Note=Localizes at both the nuclear and cytoplasmic site of the pores. Shuttles between the nucleus and the cytoplasm.	Nucleus.	-	-	genetic	genetic	12835756, 24374639	14	1	4wwu_K	4wwu_L	YPL169C	YKL186C	YKL186C	YPL169C
YMR312W_YPL101W	ELP6	ELP4	Q04868	Q02884	1.0	1272502at2759_973442at2759	0.87	0	999	lit	ortholog	Elongator complex protein 6 (Gamma-toxin target 6) (HAT-associated protein 3)	Elongator complex protein 4 (Gamma-toxin target 7) (HAT-associated protein 1)	YMR312W	YPL101W	Cytoplasm {ECO:0000269|PubMed:15780940}. Nucleus {ECO:0000269|PubMed:10024884}.	Cytoplasm. Nucleus.	-	Transmembrane	genetic	genetic	22343726, 24374639, 27974378, 11390369, 15769872, 27872205, 29332244, 11296232, 11435442, 11689709, 13680368, 22556426, 10024884, 15780940, 18755837, 11904415	23	both	4a8j_F	4ejs_A	YMR312W	YPL101W	YMR312W	YPL101W
YLR105C_YPL083C	SEN2	SEN54	P16658	Q02825	1.0	1219366at2759_1617156at2759	1.083	na	999	lit	na	tRNA-splicing endonuclease subunit SEN2 (EC 4.6.1.16) (Splicing endonuclease protein 2) (tRNA-intron endonuclease SEN2)	tRNA-splicing endonuclease subunit SEN54 (Splicing endonuclease of 54 kDa) (tRNA-intron endonuclease SEN54)	YLR105C	YPL083C	Nucleus {ECO:0000269|PubMed:12925762}. Endomembrane system {ECO:0000269|PubMed:12925762}; Peripheral membrane protein {ECO:0000269|PubMed:12925762}. Mitochondrion outer membrane {ECO:0000269|PubMed:12925762, ECO:0000269|PubMed:16823961}; Peripheral membrane protein {ECO:0000269|PubMed:12925762, ECO:0000269|PubMed:16823961}; Cytoplasmic side {ECO:0000269|PubMed:12925762, ECO:0000269|PubMed:16823961}. Note=The tRNA splicing endonuclease complex is predominantly associated with the outer membrane of mitochondria, suggesting that tRNA splicing mainly takes place on the mitochondrial surface.	Nucleus {ECO:0000269|PubMed:12925762}. Endomembrane system {ECO:0000269|PubMed:12925762}; Peripheral membrane protein {ECO:0000269|PubMed:12925762}. Mitochondrion outer membrane {ECO:0000269|PubMed:12925762, ECO:0000269|PubMed:16823961}; Peripheral membrane protein {ECO:0000269|PubMed:12925762, ECO:0000269|PubMed:16823961}; Cytoplasmic side {ECO:0000269|PubMed:12925762, ECO:0000269|PubMed:16823961}. Note=The tRNA splicing endonuclease complex is predominantly associated with the outer membrane of mitochondria, suggesting that tRNA splicing mainly takes place on the mitochondrial surface.	-	-	genetic	genetic	16823961, 9200603, 12925762, 24374639, 14562106	9	1	na	na	YLR105C	YPL083C	YLR105C	YPL083C
YDR041W_YPR166C	RSM10	MRP2	Q03201	P10663	1.0	1528895at2759_1612572at2759	na	na	999	na	ortholog	37S ribosomal protein S10, mitochondrial (Mitochondrial small ribosomal subunit protein uS10m)	37S ribosomal protein MRP2, mitochondrial (Mitochondrial small ribosomal subunit protein uS14m)	YDR041W	YPR166C	Mitochondrion {ECO:0000269|PubMed:11278769, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	-	-	genetic	genetic	17322287, 12392552, 28154081, 25609543, 14576278, 11278769, 24374639	14	both	5mrf_JJ	5mrf_NN	YDR041W	YPR166C	YDR041W	YPR166C
YDR390C_YPR180W	AOS1	UBA2	Q06624	P52488	1.0	1180926at2759_686413at2759	1.201	0.167	999	gold	homolog	DNA damage tolerance protein RHC31 (RAD31 homolog)	Ubiquitin-activating enzyme E1-like (Polymerase-interacting protein 2) (SMT3-activating enzyme subunit 2)	YPR180W	YDR390C	na	Nucleus.	-	-	genetic	genetic	24374639, 14562106	11	both	na	na	YPR180W	YDR390C	YDR390C	YPR180W
YCR035C_YGR095C	RRP46	RRP43	P53256	P25359	1.0	1129417at2759_1210090at2759	1.447	na	999	lit	ortholog	Exosome complex component RRP46 (Ribosomal RNA-processing protein 46)	Exosome complex component RRP43 (Ribosomal RNA-processing protein 43)	YGR095C	YCR035C	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus, nucleolus {ECO:0000269|PubMed:14562095}.	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus, nucleolus {ECO:0000269|PubMed:14562095}.	-	-	genetic	genetic	17174896, 14562106, 10465791, 17173052, 14562095, 24374639	17	both	5okz_h	7aju_ED	YGR095C	YCR035C	YCR035C	YGR095C
YMR106C_YMR284W	YKU70	YKU80	P32807	Q04437	1.0	402798at2759_598957at2759	3.342	1.333	999	gold	ortholog	ATP-dependent DNA helicase II subunit 1 (EC 3.6.4.12) (ATP-dependent DNA helicase II subunit Ku70) (High affinity DNA-binding factor subunit 1)	ATP-dependent DNA helicase II subunit 2 (EC 3.6.4.12) (ATP-dependent DNA helicase II subunit Ku80) (High affinity DNA-binding factor subunit 2) (Yeast Ku80)	YMR284W	YMR106C	Nucleus {ECO:0000269|PubMed:9635192}. Chromosome, telomere {ECO:0000269|PubMed:9635192}.	Nucleus {ECO:0000269|PubMed:9635192}. Chromosome, telomere {ECO:0000269|PubMed:9635192}.	-	-	genetic	genetic	12975323, 9914366, 9663392, 10675560, 14562106, 14585978, 16951060, 9635192, 9635193, 8509423, 11046137, 12138180, 9169872, 24374639	25	both	5y58_E	5y58_F	YMR284W	YMR106C	YMR106C	YMR284W
YJL096W_YKR085C	MRPL20	MRPL49	P22354	P40858	1.0	1330161at2759_1586807at2759	na	na	944	na	ortholog	54S ribosomal protein L20, mitochondrial (Mitochondrial large ribosomal subunit protein mL58) (YmL20)	54S ribosomal protein L49, mitochondrial (Mitochondrial large ribosomal subunit protein bL21m) (YmL49)	na	na	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	-	-	na	na	24675956, 14562106, 12392552, 25609543, 14576278, 14562095, 24374639	18	na	3j6b_a	3j6b_N	YKR085C	YJL096W	YJL096W	YKR085C
YDL201W_YDR165W	TRM8	TRM82	Q12009	B5VG60	1.0	1417652at2759_937275at2759	4.016	na	999	apms	ortholog	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (Transfer RNA methyltransferase 8) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit TRM82 (Transfer RNA methyltransferase 82)	YDL201W	YDR165W	Nucleus {ECO:0000255|HAMAP-Rule:MF_03055, ECO:0000269|PubMed:14562095}.	Nucleus {ECO:0000255|HAMAP-Rule:MF_03056}.	-	-	genetic	genetic	na	14	both	2vdu_F	2vdu_D	YDL201W	YDR165W	YDL201W	YDR165W
YCL016C_YHR191C	DCC1	CTF8	P25559	P38877	1.0	1140219at2759_1551444at2759	0.162	0	998	apms	ortholog	Sister chromatid cohesion protein DCC1 (Defective in sister chromatid cohesion protein 1)	Chromosome transmission fidelity protein 8	YCL016C	YHR191C	na	Nucleus {ECO:0000269|PubMed:11389843}. Note=Associates with chromatin.	-	-	genetic	genetic	15964801, 11389843, 24374639	7	1	6s2f_B	6s2f_D	YCL016C	YHR191C	YCL016C	YHR191C
YGR215W_YPR166C	MRP2	RSM27	P10663	P53305	1.0	1612572at2759_1632644at2759	na	na	986	na	ortholog	37S ribosomal protein MRP2, mitochondrial (Mitochondrial small ribosomal subunit protein uS14m)	Mitochondrial 37S ribosomal protein S27 (Mitochondrial small ribosomal subunit protein mS33)	YPR166C	YGR215W	Mitochondrion {ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:11278769, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	-	-	genetic	genetic	17322287, 12392552, 28154081, 25609543, 14576278, 11278769, 24374639	14	1	5mrf_NN	5mrf_XX	YPR166C	YGR215W	YGR215W	YPR166C
YBR282W_YDR405W	MRPL27	MRP20	P36526	P32387	1.0	1294210at2759_1495685at2759	0.071	na	998	na	ortholog	54S ribosomal protein L27, mitochondrial (Mitochondrial large ribosomal subunit protein mL41) (YmL27)	54S ribosomal protein L41, mitochondrial (Mitochondrial large ribosomal subunit protein uL23m) (YmL41)	YBR282W	YDR405W	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	-	-	genetic	genetic	24675956, 14562106, 2060626, 25609543, 14576278, 14562095, 24374639	15	both	3j6b_3	3j6b_P	YBR282W	YDR405W	YBR282W	YDR405W
YDR121W_YJL065C	DPB4	DLS1	Q04603	P40366	1.0	1572458at2759_1622159at2759	0.122	na	999	lit	homolog	DNA polymerase epsilon subunit D (DNA polymerase II subunit D)	Protein DLS1 (DPB3-like subunit of ISW2 complex 1)	YDR121W	YJL065C	Nucleus {ECO:0000269|PubMed:11024162}.	Nucleus {ECO:0000269|PubMed:14562095}.	-	-	genetic	genetic	17322287, 24374639, 14562106, 11081629, 18407956, 11238944, 11533234, 15024052, 14673157	17	both	6wjv_4	na	YDR121W	YJL065C	YDR121W	YJL065C
YER029C_YLR147C	SMD3	SMB1	P43321	P40018	1.0	1584810at2759_1630470at2759	0.042	0.056	999	gold	ortholog	Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3)	Small nuclear ribonucleoprotein-associated protein B (snRNP-B) (Sm protein B) (Sm-B) (SmB)	YLR147C	YER029C	Cytoplasm {ECO:0000269|PubMed:7799953}. Nucleus {ECO:0000269|PubMed:7799953}.	Nucleus.	-	-	cellular,genetic	genetic	17322287, 10449419, 11884590, 9528767, 14690591, 11302706, 11804584, 10369684, 24374639	22	both	7dco_d	7dco_h	YLR147C	YER029C	YER029C	YLR147C
YDR299W_YER127W	LCP5	BFR2	P40079	Q06631	1.0	1511802at2759_794860at2759	0.003	na	999	y2h	na	U3 small nucleolar ribonucleoprotein protein LCP5	Protein BFR2 (Brefeldin A resistance protein 2)	YER127W	YDR299W	Nucleus, nucleolus.	Nucleus, nucleolus {ECO:0000269|PubMed:14562095}.	-	-	genetic	genetic	14690591, 24374639, 18407956, 14562106	14	both	6zqb_JE	7ajt_JK	YER127W	YDR299W	YDR299W	YER127W
